WKT,unnamed (1),id,lat,lon
"LINESTRING (106.66194591783137 10.800735088771935, 106.66761610768886 10.800181802675446)",252.0,edge-145,,
"LINESTRING (106.66761610768886 10.800181802675446, 106.67784766703926 10.79415602224354)",253.0,edge-146,,
"LINESTRING (106.66454377135624 10.797067327053494, 106.66209551455303 10.79187936609247)",254.0,edge-147,,
"LINESTRING (106.66209551455303 10.79187936609247, 106.66206332804485 10.79139456785105)",255.0,edge-148,,
"LINESTRING (106.66206332804485 10.79139456785105, 106.66065839753644 10.788955280873008)",256.0,edge-149,,
"LINESTRING (106.67444363367271 10.796256216065686, 106.6721809906257 10.791891922408247)",257.0,edge-150,,
"LINESTRING (106.6721809906257 10.791891922408247, 106.6720007236231 10.791511855269167)",258.0,edge-151,,
"LINESTRING (106.67151580279001 10.79182341835922, 106.6720007236231 10.791511855269167)",259.0,edge-152,,
"LINESTRING (106.6720007236231 10.791511855269167, 106.67831861966428 10.787612395663967)",260.0,edge-153,,
"LINESTRING (106.66637167541595 10.756248719669571, 106.6624556502542 10.75539527465039)",261.0,edge-154,,
"LINESTRING (106.64231055743352 10.766600885589519, 106.64644503907621 10.765361398094834)",262.0,edge-155,,
"LINESTRING (106.66662903905055 10.790723641058886, 106.66209551455303 10.79187936609247)",263.0,edge-156,,
"LINESTRING (106.67074904052825 10.769740364375355, 106.67314461089977 10.770844096190466)",264.0,edge-157,,
"LINESTRING (106.65244245843351 10.768850121983306, 106.65708050338836 10.762256971443465)",265.0,edge-158,,
"LINESTRING (106.67501911727996 10.761171014045628, 106.66637167541595 10.756248719669571)",266.0,edge-159,,
"LINESTRING (106.67712196914763 10.76035942071941, 106.6782879782135 10.757264887388738)",267.0,edge-160,,
"LINESTRING (106.68364126724073 10.78250275195348, 106.68546516937086 10.78126963818445)",268.0,edge-161,,
"LINESTRING (106.68960225494425 10.773612770253933, 106.6934109917454 10.771325641540948)",269.0,edge-162,,
